,city id,city,lat,temp,humidity,cloudiness,wind speed
346,1214488,Meulaboh,4.1363,28.42,75,100,1.67
347,3580279,Gouyave,12.1646,25.43,77,2,8.91
348,1732871,Singkang,2.1006,27.89,83,20,2.57
349,2158767,Mareeba,-17.0,28.77,74,75,2.06
350,5367788,Lompoc,34.6391,10.17,76,1,4.12
351,535839,Leshukonskoye,64.8989,-21.34,91,90,2.32
352,1033356,Nampula,-15.1165,23.0,94,40,1.54
353,1505965,Igrim,63.1906,-33.44,85,0,1.44
354,3932145,Pisco,-13.7,22.44,73,0,4.63
355,3122172,Foz,43.5692,9.99,99,100,5.36
356,2269557,Castanheira de Pêra,40.0072,13.5,93,100,2.1
357,2038087,Chengde,40.9725,5.34,58,0,0.86
358,6167817,Torbay,47.6666,-6.68,73,90,12.35
359,5110365,Broome,42.2506,-6.91,49,90,0.28
360,1604771,Yaring,6.8662,29.0,70,20,2.57
361,5972291,Havre-St-Pierre,50.2334,-16.0,60,1,6.69
362,1540711,Muravlenko,63.7898,-30.42,86,100,6.72
363,314967,Fethiye,36.6217,8.0,100,0,3.09
364,1120985,Zaranj,30.9667,6.0,49,0,2.06
365,1492607,Severnoye,56.3491,-32.35,85,0,3.54
366,6620339,Karratha,-20.7377,34.95,42,0,4.94
367,797213,Pervomayskoye,43.919,6.62,93,100,2.58
368,1619611,Bang Bo,13.5743,28.4,57,0,3.6
369,2126710,Beringovskiy,63.05,-30.15,86,78,6.49
370,3457859,Maracaju,-21.6144,20.09,85,92,2.58
371,945945,Upington,-28.4478,20.0,88,100,4.12
372,2025241,Churapcha,62.0025,-19.24,91,100,3.27
373,3406318,Barra do Corda,-5.5,22.94,93,92,0.8
374,3354077,Opuwo,-18.0607,19.19,77,99,1.71
375,5746545,Portland,45.5234,4.83,56,75,1.04
376,3395458,Maragogi,-9.0122,25.53,84,14,4.27
377,3105522,Bereda,43.2686,9.99,99,100,5.36
378,779554,Honningsvåg,70.9821,-3.74,87,100,0.71
379,3356213,Khorixas,-20.3667,18.78,84,100,2.41
380,2012530,Zhigansk,66.7697,-24.6,86,100,4.83
381,5919815,Channel-Port aux Basques,47.5702,-6.4,93,100,15.7
382,5338122,Clovis,36.8252,15.35,48,40,2.06
383,5134295,Rome,43.2128,-9.73,73,1,1.54
384,933002,Tobane,-21.95,19.98,90,100,3.63
385,2065176,Murray Bridge,-35.1167,34.46,25,100,7.21
386,2121385,Severo-Kuril'sk,50.6789,-2.68,94,100,9.23
387,2035610,Nehe,48.4833,-6.03,96,91,5.82
388,2023584,Imeni Poliny Osipenko,52.4201,-13.54,91,39,2.48
389,1106677,Bambous Virieux,-20.3428,26.67,71,27,3.13
390,2521582,Arona,28.0996,15.65,67,75,2.57
391,2208091,Waitara,-38.925,17.22,52,0,4.92
392,1855540,Naze,28.3667,16.0,82,75,6.69
393,2412408,Nioro,13.35,23.34,19,23,2.26
394,1226260,Trincomalee,8.5711,25.47,62,62,5.16
395,2161515,Kiama,-34.6833,26.3,64,3,5.81
396,509483,Pinega,64.7001,-20.87,90,100,2.57
397,2249782,Kolda,12.8833,20.38,48,60,1.44
398,1282635,Tulsīpur,28.131,17.64,42,0,0.78
399,3453060,Pontes e Lacerda,-15.2261,22.23,92,99,1.08
400,1244926,Hambantota,6.1241,22.0,94,0,3.09
401,3393692,Itarema,-2.9248,26.68,82,78,4.66
